Mon Lunch|||||||||||||||||||||||||
|Celery & Red Pepper Soup  |240|279|1172|7.1|14.1|8.4|3.5|0.9|6.8|33.2|2.4|457|386|179|1.1|||||||||
|Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
|||||||||||||||||||||||||
|Bread roll and Butter/Margarine|1|205|864|4.7|9.3|5.5|2.3|0.6|1.4|27|1.2|389|89|90|0.8|||||||||
|||||||||||||||||||||||||
|Beef Goulash & Dumplings |397|447|1861|26.0|27.0|6.9|10.6|8.9|8.0|25.0|2.0|402.0|834.0|96.0|4.1|||||||||
|Vegetable & Bean Cottage Pie|325|362|1517|15.3|18.3|10|5.4|1.2|9.2|36.3|5.4|280|1031|219|3|||||||||
|||||||||||||||||||||||||
|Baby Carrots |120|29|120|0.7|0.5|0.1|0.0|0.2|5.5|5.9|3.0|60.0|144.0|28.8|0.5|||||||||
|Creamed Potatoes |118|139|580|2.0|7.0|3.3|1.7|0.4|1.1|17.0|1.3|186.0|377.0|18.0|0.4|||||||||
|||||||||||||||||||||||||
|Cheese & Tomato Sand |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
|Chicken Salad (mayonnaise)Sandwich |1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
|Plain Ham Sandwich |1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
|Tuna Mayonnaise Sand |1|394.5|1649|47.15|10.05|1.8|2.3|5.1|2.3|30.7|2.4|937|541.1|113.8|3.2|||||||||
|Egg & Tomato Sandwich |1|358|1504.5|18.95|16.5|4.3|6.1|3.8|4.6|35.65|2.7|537.5|520.5|241.5|3.55|||||||||
|||||||||||||||||||||||||
|Piece of Fresh Fruit |100|37-95|154-397|0.4-1.2|0.1-0.3|0.1|0.0|0.1|8.5-20.9|8.5-23.2|1.1-1.8|1.0-5.0|120-400|4.0-47|0.1-0.3|||||||||
|Fruit Yoghurt |110|78|326|3.3|0.2|0.0|0.0|0.0|10.2|10.2|0.0|49.5|211.2|n/a|n/a|||||||||
|Cheese and Biscuits |1|207|864|10.2|14.5|7.6|3.3|0.4|0|9.6|0.3|338|43|274|0.3|||||||||
|Mixed Fruit in Lime Jelly |140|68|290|1.2|0.0|0.0|0.0|0.0|16.0|16.0|0.0|6.0|58.0|11.0|0.5|||||||||
|||||||||||||||||||||||||
|Ham Salad |1|150.7|628|24.1|4.6|1.2|1.8|0.6|5|5.3|1.6|1788|748|36.1|2.1|||||||||
|Mixed Bean Salad |1|158|661|10.3|2.8|0.3|0.5|1|6.2|24.5|7.8|714.3|574|96.1|3.3|||||||||
|Tuna Mayonnaise Salad    |1|388.7|1624|36.8|23.6|2.7|5.6|13.1|6|6.4|1.8|629.3|687|47.3|2.39|||||||||
|Egg Salad  |1|179.7|752|13.7|11.5|3.1|4.7|1.3|5.6|5.9|1.8|154.3|467|90.3|2.7|||||||||
|Chicken Salad |1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
|Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
Mon Dinner|||||||||||||||||||||||||
|Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
|Broccoli & Potato Soup  |240|365|1537|8.7|16.1|7.8|5.2|18.6|4.5|49|3.1|403|420|137|1.8|||||||||
|||||||||||||||||||||||||
|Aloo Kheema Mutter |276|299|1252|25.6|14.4|5.6|6.2|1|5.3|18|2.9|106|728|46|3|||||||||
|Grilled Salmon |140|391|1625|26|28|4.7|15.3|14.9|0.4|8|0.3|137|467|55|1.2|||||||||
|Spicy Vegetables with Cous cous|226|186|780|4.4|5.8|0.7|2.9|0.6|14.5|30.7|3.4|123|645|48|2.7|||||||||
|||||||||||||||||||||||||
|Cheese & Tomato Sand |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
|Chicken Salad (mayonnaise)Sandwich |1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
|Plain Ham Sandwich |1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
|Tuna Mayonnaise Sand |1|394.5|1649|47.15|10.05|1.8|2.3|5.1|2.3|30.7|2.4|937|541.1|113.8|3.2|||||||||
|Egg & Tomato Sandwich|1|358|1504.5|18.95|16.5|4.3|6.1|3.8|4.6|35.65|2.7|537.5|520.5|241.5|3.55|||||||||
|Ham Salad |1|150.7|628|24.1|4.6|1.2|1.8|0.6|5|5.3|1.6|1788|748|36.1|2.1|||||||||
|Mixed Bean Salad |1|158|661|10.3|2.8|0.3|0.5|1|6.2|24.5|7.8|714.3|574|96.1|3.3|||||||||
|Tuna Mayonnaise Salad     |1|388.7|1624|36.8|23.6|2.7|5.6|13.1|6|6.4|1.8|629.3|687|47.3|2.39|||||||||
|Egg Salad |1|179.7|752|13.7|11.5|3.1|4.7|1.3|5.6|5.9|1.8|154.3|467|90.3|2.7|||||||||
|Chicken Salad |1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
|Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
| Mashed Potatoes |118|139|580|2.0|7.0|3.3|2.7|0.4|1.1|17.0|1.3|186.0|377.0|18.0|0.4|||||||||
| Boiled Rice |110|126|532|2.0|0.3|0.0|0.0|0.0|0.0|30.0|0.2|1.0|39.0|1.0|0.2|||||||||
| Peas |120|83|349|7.2|1.1|0.2|0.1|0.6|3.2|11.6|6.1|2.4|180.0|42.0|1.9|||||||||
